depth_m,age_gasBP,CH4
108.81594,356.9748,685.9775
108.81659,357.0031,687.5218
108.81725,357.0314,686.36317
108.81791,357.0597,685.76642
108.81857,357.088,684.51813
108.81922,357.1163,685.06303
108.81988,357.1446,685.155
108.82054,357.1729,684.2856
108.8212,357.2011,685.34536
108.82185,357.2294,686.65591
108.82251,357.2577,684.34537
108.82317,357.286,686.59535
108.90604,360.8507,688.94032
108.9067,360.879,689.12291
108.90735,360.9073,688.36308
108.90801,360.9356,688.6707
108.90867,360.9638,688.2341
108.90933,360.9921,688.33951
108.90998,361.0204,688.91064
108.91064,361.0487,689.1287
108.9113,361.077,690.74311
108.91196,361.1053,690.01512
108.91262,361.1336,690.78487
108.91327,361.1619,692.55641
108.91393,361.1902,692.28016
108.91459,361.2185,692.73332
108.91525,361.2468,693.96626
108.9159,361.275,695.00018
108.91656,361.3033,695.37651
108.91722,361.3316,694.52639
108.91788,361.3599,694.12873
108.91853,361.3882,694.14592
108.91919,361.4165,693.76895
108.91985,361.4448,692.27435
108.92051,361.4731,691.71523
108.92117,361.5014,691.90459
108.92182,361.5297,691.27467
108.92248,361.558,690.42594
108.92314,361.5862,690.45572
108.9238,361.6145,689.22735
108.92445,361.6428,690.32865
108.92511,361.6711,689.29478
108.92577,361.6994,687.31293
108.92643,361.7277,687.45741
108.92708,361.756,687.63844
108.92774,361.7843,688.89677
108.97575,363.8495,690.82768
108.97641,363.8778,691.65431
108.97707,363.9061,691.68047
108.97773,363.9344,693.94452
108.97838,363.9627,692.69554
108.97904,363.991,693.66258
108.9797,364.0193,695.46023
108.98036,364.0476,695.73734
108.98102,364.0759,695.76658
108.98167,364.1041,697.13748
108.98233,364.1324,696.20889
108.98299,364.1607,693.31129
108.98365,364.189,694.54346
108.9843,364.2173,694.35332
108.98496,364.2456,693.6541
108.98562,364.2739,692.05762
108.98628,364.3022,691.03328
108.98693,364.3305,692.92325
108.98759,364.3588,691.40093
108.98825,364.3871,691.12023
108.98891,364.4153,692.39898
108.98957,364.4436,690.62812
108.99022,364.4719,690.64686
108.99088,364.5002,688.08947
108.99154,364.5285,689.8227
108.9922,364.5568,686.99996
108.99285,364.5851,686.44634
108.99351,364.6134,685.78464
108.99417,364.6417,687.15297
108.99483,364.67,686.55815
108.99548,364.6983,687.62749
108.99614,364.7265,685.83513
108.9968,364.7548,687.45691
108.99746,364.7831,688.0257
108.99812,364.8114,687.1706
108.99877,364.8397,686.41051
108.99943,364.868,687.61927
109.00009,364.8963,685.78848
109.00075,364.9246,686.65597
109.0014,364.9529,684.16297
109.00206,364.9812,685.39582
109.00272,365.0095,684.99491
109.00338,365.0377,684.9903
109.00403,365.066,686.34698
109.00469,365.0943,684.79208
109.00535,365.1226,684.88211
109.00601,365.1509,684.36702
109.00667,365.1792,683.45706
109.00732,365.2075,683.22404
109.00798,365.2358,681.99786
109.00864,365.2641,681.06347
109.0093,365.2924,682.89298
109.00995,365.3207,682.73577
109.01061,365.3489,683.07441
109.01127,365.3772,682.74565
109.01193,365.4055,683.46001
109.01258,365.4338,684.38971
109.01324,365.4621,684.35905
109.0139,365.4904,686.03587
109.01456,365.5187,684.22477
109.01522,365.547,685.67134
109.01587,365.5753,687.37892
109.01653,365.6036,685.1442
109.01719,365.6319,686.49246
109.01785,365.6601,689.5763
109.0185,365.6884,688.00765
109.01916,365.7167,689.21574
109.01982,365.745,687.97034
109.02048,365.7733,687.81855
109.02113,365.8016,689.9958
109.02179,365.8299,689.83064
109.02245,365.8582,689.47232
109.02311,365.8865,690.35644
109.02377,365.9148,690.45341
109.02442,365.9431,689.72474
109.02508,365.9713,691.23607
109.02574,365.9996,692.57937
109.0264,366.0279,692.07269
109.02705,366.0562,692.14845
109.02771,366.0845,691.63249
109.02837,366.1128,692.45638
109.02903,366.1411,690.48688
109.02968,366.1694,691.88878
109.03034,366.1977,692.14145
109.031,366.226,691.24543
109.03166,366.2543,691.41139
109.03232,366.2825,690.16931
109.03297,366.3108,689.6183
109.03363,366.3391,688.84721
109.03429,366.3674,687.58574
109.03495,366.3957,688.57064
109.0356,366.424,687.69172
109.03626,366.4523,686.90031
109.03692,366.4806,687.81845
109.03758,366.5089,688.28632
109.03823,366.5372,688.26609
109.03889,366.5655,688.96409
109.03955,366.5937,691.35278
109.04021,366.622,691.28352
109.04087,366.6503,690.07176
109.04152,366.6786,692.11837
109.04218,366.7069,693.99217
109.04284,366.7352,693.87899
109.0435,366.7635,694.44288
109.04415,366.7918,695.49194
109.04481,366.8201,693.31175
109.04547,366.8484,694.7654
109.04613,366.8767,694.98812
109.04678,366.9049,695.63287
109.04744,366.9332,693.86471
109.0481,366.9615,695.1864
109.04876,366.9898,695.27389
109.04942,367.0181,692.72361
109.05007,367.0464,692.39543
109.05073,367.0747,692.55122
109.05139,367.103,690.90812
109.05205,367.1313,691.2654
109.0527,367.1596,691.43248
109.05336,367.1879,689.43245
109.05402,367.2161,689.40243
109.05468,367.2444,688.36455
109.05533,367.2727,688.4672
109.05599,367.301,688.08012
109.05665,367.3293,688.17163
109.05731,367.3576,690.61658
109.05797,367.3859,689.41535
109.05862,367.4142,688.43451
109.05928,367.4425,688.67108
109.05994,367.4708,687.71232
109.0606,367.4991,687.61532
109.06125,367.5273,687.25888
109.06191,367.5556,686.23782
109.06257,367.5839,686.23375
109.06323,367.6122,685.88615
109.06388,367.6405,685.85012
109.06454,367.6688,685.36971
109.0652,367.6971,684.94764
109.06586,367.7254,685.66858
109.06652,367.7537,682.99956
109.06717,367.782,684.4358
109.06783,367.8103,682.711
109.06849,367.8386,683.23752
109.06915,367.8668,681.24835
109.0698,367.8951,681.06021
109.07046,367.9234,681.15453
109.07112,367.9517,680.09674
109.07178,367.98,679.7948
109.07243,368.0083,679.79011
109.07309,368.0366,679.51623
109.07441,368.0932,679.59699
109.07507,368.1215,681.14687
109.07572,368.1498,681.04792
109.07638,368.178,681.31831
109.07704,368.2063,681.43185
109.0777,368.2346,681.3126
109.07835,368.2629,683.83391
109.07901,368.2912,684.54919
109.07967,368.3195,684.14924
109.08033,368.3478,683.5521
109.08098,368.3761,682.64024
109.08164,368.4044,684.33929
109.0823,368.4327,684.37796
109.08296,368.461,684.58932
109.08362,368.4892,685.47646
109.08427,368.5175,684.85037
109.08493,368.5458,684.11595
109.08559,368.5741,686.39685
109.08625,368.6024,685.35859
109.0869,368.6307,684.75972
109.08756,368.659,684.75386
109.08822,368.6873,687.42594
109.08888,368.7156,687.13084
109.08953,368.7439,686.81056
109.09019,368.7722,688.60294
109.09085,368.8004,689.50353
109.09151,368.8287,688.38289
109.09217,368.857,689.85306
109.09282,368.8853,690.41276
109.09348,368.9136,689.05405
109.09414,368.9419,692.09543
109.0948,368.9702,691.32626
109.09545,368.9985,692.67069
109.09611,369.0268,694.27235
109.09677,369.0551,692.71255
